epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5316,1.23027,1.88835,1.5308,0.63144,0.6087,0.64272,0.36405,1.36864,1.67806,1.80801,0.000665993,0.000665993,0.000665993
2,179.888,1.3794,1.62983,1.64059,0.70154,0.64214,0.69178,0.42898,1.27635,1.35331,1.7024,0.00132386,0.00132386,0.00132386
3,268.743,1.38053,1.56236,1.64439,0.59653,0.63171,0.63516,0.36904,1.34299,1.65381,1.77475,0.00197294,0.00197294,0.00197294
4,354.516,1.34731,1.4788,1.61266,0.71646,0.73997,0.76593,0.48623,1.21378,1.24014,1.63543,0.0019604,0.0019604,0.0019604
5,437.413,1.28287,1.41317,1.56239,0.68246,0.7242,0.73387,0.47706,1.17601,1.19564,1.60713,0.0019472,0.0019472,0.0019472
6,524.997,1.21225,1.30993,1.51858,0.80979,0.73331,0.82782,0.5811,1.07158,1.05636,1.5112,0.001934,0.001934,0.001934
7,614.383,1.19172,1.25438,1.50452,0.80556,0.73495,0.81357,0.5543,1.0722,1.06811,1.50212,0.0019208,0.0019208,0.0019208
8,697.785,1.14695,1.24167,1.46468,0.81714,0.74355,0.83818,0.58498,1.08821,1.02828,1.50052,0.0019076,0.0019076,0.0019076
9,785.494,1.13562,1.19617,1.4615,0.8316,0.76589,0.86351,0.59385,1.07098,0.94139,1.49205,0.0018944,0.0018944,0.0018944
10,866.994,1.11868,1.16915,1.44412,0.79455,0.77007,0.84315,0.60349,1.00106,0.96781,1.44351,0.0018812,0.0018812,0.0018812
11,951.046,1.09219,1.1298,1.42534,0.82954,0.83863,0.89363,0.6559,0.94423,0.82308,1.38885,0.001868,0.001868,0.001868
12,1036.82,1.06478,1.09328,1.39868,0.8485,0.82888,0.90132,0.66835,0.92274,0.8022,1.36985,0.0018548,0.0018548,0.0018548
13,1123.42,1.04128,1.04997,1.38182,0.84057,0.84638,0.89979,0.68819,0.87039,0.77076,1.3257,0.0018416,0.0018416,0.0018416
14,1208.35,1.01134,1.04119,1.3722,0.84505,0.85117,0.9007,0.69514,0.84672,0.7587,1.28803,0.0018284,0.0018284,0.0018284
15,1304.77,1.02652,1.03002,1.3707,0.86987,0.84615,0.91668,0.69035,0.8864,0.72551,1.32164,0.0018152,0.0018152,0.0018152
16,1392.98,0.98238,0.97628,1.34518,0.85156,0.86371,0.90347,0.69517,0.85545,0.72729,1.29761,0.001802,0.001802,0.001802
17,1479.17,0.97075,0.96785,1.33333,0.88196,0.84281,0.9177,0.70786,0.83959,0.70157,1.29454,0.0017888,0.0017888,0.0017888
18,1557.37,0.98456,0.96106,1.34262,0.90561,0.85368,0.93368,0.72984,0.82634,0.65274,1.27426,0.0017756,0.0017756,0.0017756
19,1638.55,0.95811,0.94416,1.32445,0.9177,0.86704,0.94315,0.74573,0.80768,0.62325,1.2549,0.0017624,0.0017624,0.0017624
