epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6562,1.86147,4.61129,2.09101,0.55731,0.48584,0.4975,0.22109,1.85465,2.5967,1.87217,0.00330864,0.00330864,0.00330864
2,163.051,1.55687,2.0345,1.78227,0.446,0.34314,0.33308,0.12735,2.13423,2.74148,2.27178,0.00664125,0.00664125,0.00664125
3,241.169,1.65973,2.17679,1.86027,0.34482,0.36275,0.24957,0.08276,2.46495,7.40378,2.74971,0.00997098,0.00997098,0.00997098
4,320.665,1.78284,2.43787,1.96725,0.19875,0.29412,0.12576,0.03609,2.63779,4.09556,2.81149,0.00999023,0.00999023,0.00999023
5,400.357,1.71961,2.30112,1.91305,0.41761,0.40087,0.36714,0.15492,2.05931,2.61166,2.14103,0.00998264,0.00998264,0.00998264
6,478.29,1.66146,2.16439,1.86277,0.34653,0.37908,0.26693,0.08019,2.47422,5.99151,2.63183,0.00997288,0.00997288,0.00997288
7,556.45,1.61902,2.06635,1.82389,0.5667,0.50545,0.50247,0.20042,2.12052,2.41943,2.19209,0.00996097,0.00996097,0.00996097
8,636.26,1.57189,1.97133,1.78442,0.48882,0.43855,0.43922,0.16961,1.9711,2.86444,2.10601,0.0099469,0.0099469,0.0099469
9,713.517,1.52574,1.88857,1.74932,0.56681,0.49455,0.54508,0.2572,1.86888,1.89288,2.01282,0.00993068,0.00993068,0.00993068
10,791.125,1.49154,1.81428,1.72058,0.6493,0.58287,0.64822,0.28984,1.83161,2.21319,1.99452,0.00991232,0.00991232,0.00991232
11,870.989,1.46955,1.75211,1.69017,0.66746,0.56628,0.64114,0.30581,1.8905,2.12373,1.96968,0.00989183,0.00989183,0.00989183
12,948.593,1.45745,1.72624,1.68391,0.61613,0.57873,0.63719,0.30588,1.72356,2.16159,1.84869,0.00986922,0.00986922,0.00986922
13,1025.97,1.42141,1.68527,1.66003,0.70271,0.63725,0.70013,0.3514,1.74341,1.885,1.86474,0.00984449,0.00984449,0.00984449
14,1103.74,1.39376,1.64502,1.63527,0.72502,0.61656,0.70766,0.32872,1.93402,1.96907,2.00846,0.00981765,0.00981765,0.00981765
15,1183.28,1.39968,1.59655,1.63202,0.69968,0.63195,0.70875,0.365,1.71996,1.69337,1.85527,0.00978873,0.00978873,0.00978873
16,1260.99,1.36543,1.54789,1.60549,0.71592,0.65251,0.73566,0.35334,1.74462,2.53998,1.87507,0.00975773,0.00975773,0.00975773
17,1338.26,1.36725,1.52396,1.59918,0.74381,0.67538,0.75927,0.38028,1.72983,1.61536,1.88995,0.00972466,0.00972466,0.00972466
18,1417.62,1.35257,1.50735,1.59046,0.76052,0.63072,0.73804,0.39369,1.70837,1.56915,1.88662,0.00968955,0.00968955,0.00968955
19,1495.34,1.33662,1.48672,1.57322,0.74322,0.70588,0.75468,0.36951,1.69566,1.6778,1.83138,0.00965239,0.00965239,0.00965239
20,1572.58,1.3174,1.45862,1.56247,0.77634,0.71024,0.79296,0.41046,1.69732,1.59175,1.81326,0.00961322,0.00961322,0.00961322
21,1650.58,1.30558,1.44702,1.55993,0.76183,0.68845,0.77841,0.40927,1.61874,1.50588,1.7415,0.00957205,0.00957205,0.00957205
22,1730.21,1.30289,1.41167,1.54563,0.73294,0.68463,0.75204,0.39572,1.69699,1.76533,1.83464,0.00952889,0.00952889,0.00952889
23,1807.53,1.29251,1.38688,1.53866,0.75666,0.70806,0.79472,0.4492,1.60426,1.42669,1.76304,0.00948377,0.00948377,0.00948377
24,1885.37,1.25492,1.34401,1.50448,0.80843,0.72331,0.82006,0.42846,1.60233,1.46643,1.75655,0.00943671,0.00943671,0.00943671
25,1964.83,1.27575,1.35668,1.51903,0.81863,0.71242,0.80922,0.46163,1.57165,1.61419,1.7201,0.00938772,0.00938772,0.00938772
26,2042.63,1.23973,1.32584,1.49709,0.82217,0.65359,0.79277,0.45169,1.5244,1.45217,1.71,0.00933683,0.00933683,0.00933683
27,2119.34,1.24488,1.31636,1.50054,0.78028,0.75163,0.8269,0.44674,1.6415,1.46002,1.78266,0.00928405,0.00928405,0.00928405
