epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4868,1.9762,4.43653,2.06906,0.09401,0.11421,0.03893,0.00972,2.59022,14.6953,2.56917,0.00034,0.00034,0.00034
2,30.1441,1.90317,3.37918,2.01766,0.00113,0.20558,0.00072,0.00024,3.61826,inf,15.8511,0.000699993,0.000699993,0.000699993
3,43.3189,2.03422,3.28849,2.07593,0,0,0,0,nan,nan,nan,0.00105996,0.00105996,0.00105996
4,56.859,2.06097,3.29474,2.07773,0.00311,0.0533,0.00176,0.00044,nan,nan,nan,0.00141988,0.00141988,0.00141988
5,70.8704,2.04714,3.25949,2.08498,0.00072,0.01269,0.00038,0.00018,nan,nan,nan,0.00177972,0.00177972,0.00177972
6,83.7952,2.06104,3.27928,2.08342,0,0,0,0,nan,nan,nan,0.00199951,0.00199951,0.00199951
7,96.7721,2.02303,3.22702,2.05566,0.00234,0.21066,0.00164,0.00059,3.8939,inf,230.344,0.0019993,0.0019993,0.0019993
8,109.623,2.01377,3.13983,2.02509,0.00453,0.01015,0.00124,0.00033,1.99821,19827.6,44.5127,0.00199904,0.00199904,0.00199904
9,123.049,1.94407,3.09642,1.98244,0.054,0.05076,0.01975,0.00383,3.91754,12.7541,6.58915,0.00199875,0.00199875,0.00199875
10,136.858,1.92823,3.03757,1.97759,0.1228,0.31726,0.0919,0.03564,2.31396,17.0264,2.39815,0.00199842,0.00199842,0.00199842
11,150.51,1.89029,2.90463,1.91777,0.1899,0.19543,0.11305,0.03577,2.49308,5.04665,2.3863,0.00199805,0.00199805,0.00199805
12,163.657,1.89883,2.87696,1.92958,0.03958,0.11168,0.01374,0.00298,3.36451,8.11692,3.12258,0.00199764,0.00199764,0.00199764
13,176.931,1.86219,2.84972,1.89456,0.15801,0.06853,0.03507,0.01287,3.20328,6.60793,2.88028,0.00199719,0.00199719,0.00199719
14,190.277,1.88575,2.86451,1.91932,0.5391,0.4264,0.44636,0.1811,2.18226,2.9024,2.13312,0.0019967,0.0019967,0.0019967
15,203.668,1.84126,2.78469,1.92338,0.17638,0.10152,0.06263,0.02287,3.12753,5.95544,3.03317,0.00199617,0.00199617,0.00199617
16,217.086,1.82232,2.72684,1.87059,0.41184,0.28258,0.27591,0.08801,2.42223,4.14222,2.35376,0.00199561,0.00199561,0.00199561
17,230.476,1.77889,2.69753,1.83649,0.37741,0.41624,0.35823,0.13415,2.24492,3.09223,2.26813,0.001995,0.001995,0.001995
18,243.643,1.80503,2.69529,1.86217,0.57575,0.45685,0.5155,0.20421,2.07694,2.7788,2.02687,0.00199436,0.00199436,0.00199436
19,257.016,1.80138,2.67574,1.86572,0.65714,0.4797,0.51349,0.21188,2.11684,2.85041,2.06236,0.00199368,0.00199368,0.00199368
20,270.308,1.7959,2.6338,1.82948,0.56096,0.41624,0.44181,0.155,2.32667,3.23259,2.1792,0.00199295,0.00199295,0.00199295
21,283.267,1.75425,2.54787,1.81971,0.60548,0.44795,0.50225,0.20407,2.11337,3.35948,2.08284,0.00199219,0.00199219,0.00199219
22,296.673,1.79087,2.64099,1.83765,0.5974,0.42386,0.46682,0.1939,2.10191,3.67161,2.04032,0.00199139,0.00199139,0.00199139
23,309.578,1.74287,2.54035,1.81249,0.53316,0.48731,0.43719,0.15582,2.23427,2.86688,2.15967,0.00199056,0.00199056,0.00199056
24,322.802,1.71707,2.47444,1.78588,0.45634,0.37056,0.35001,0.1305,2.34046,3.37364,2.2026,0.00198968,0.00198968,0.00198968
25,336.148,1.7333,2.50616,1.82592,0.64288,0.45685,0.51976,0.23279,2.08448,2.79263,2.00524,0.00198877,0.00198877,0.00198877
26,349.657,1.75073,2.54462,1.81372,0.38127,0.33503,0.29819,0.09927,2.33928,3.90363,2.33182,0.00198781,0.00198781,0.00198781
27,363.103,1.70919,2.45142,1.77945,0.61157,0.5736,0.60816,0.25932,2.04532,2.71807,1.99357,0.00198682,0.00198682,0.00198682
28,376.305,1.71581,2.38857,1.78123,0.59508,0.50254,0.55783,0.25659,1.9919,2.7139,1.93858,0.00198579,0.00198579,0.00198579
29,389.899,1.69731,2.37858,1.78225,0.60332,0.53046,0.56336,0.21866,2.15245,3.04899,2.05296,0.00198472,0.00198472,0.00198472
30,403.288,1.69898,2.39765,1.7909,0.6626,0.48846,0.58179,0.25606,2.00666,3.12617,1.95696,0.00198361,0.00198361,0.00198361
31,417.18,1.67941,2.45069,1.77172,0.63758,0.51777,0.58296,0.23677,2.11866,3.08279,2.01923,0.00198246,0.00198246,0.00198246
